epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6742.97,1.91425,1.44126,1.921,0.73512,0.64706,0.70105,0.26115,1.81875,1.57504,2.04418,0.0009605,0.0009605,0.0009605
44,6917.94,1.80973,1.51805,1.76087,0.80333,0.72106,0.76232,0.27835,1.86321,1.40358,2.04526,0.00093575,0.00093575,0.00093575
45,7072.24,1.73966,1.30458,1.78689,0.68403,0.70053,0.7383,0.27312,1.90324,1.45752,2.09006,0.000911,0.000911,0.000911
46,7219.6,1.68667,1.36692,1.69492,0.75722,0.55065,0.60905,0.24982,1.85898,1.50891,2.06968,0.00088625,0.00088625,0.00088625
47,7361.12,1.75887,1.41147,1.73173,0.69189,0.59459,0.62718,0.25324,1.82407,1.39469,2.03174,0.0008615,0.0008615,0.0008615
48,7507.2,1.67435,1.36206,1.69602,0.67315,0.67647,0.68059,0.25424,1.8448,1.50178,2.07021,0.00083675,0.00083675,0.00083675
49,7640.28,1.7138,1.26188,1.77835,0.78157,0.67647,0.75875,0.2996,1.84621,1.23511,2.03156,0.000812,0.000812,0.000812
50,7791.21,1.72272,1.35492,1.74251,0.68702,0.83949,0.81175,0.34645,1.89612,1.25281,2.06267,0.00078725,0.00078725,0.00078725
51,7947.46,1.71935,1.33958,1.77401,0.74154,0.75958,0.76872,0.33426,1.86199,1.26312,2.05375,0.0007625,0.0007625,0.0007625
52,8101.21,1.62775,1.4327,1.68679,0.60034,0.70588,0.67793,0.23714,1.94539,1.50958,2.14037,0.00073775,0.00073775,0.00073775
53,8235.22,1.61489,1.34795,1.78516,0.73987,0.7531,0.75591,0.27211,1.89648,1.42984,2.09411,0.000713,0.000713,0.000713
54,8387.65,1.66222,1.3007,1.69357,0.79646,0.69078,0.75776,0.31321,1.92324,1.52811,2.11887,0.00068825,0.00068825,0.00068825
55,8536.19,1.65721,1.36226,1.62993,0.78573,0.67647,0.72698,0.28088,1.94933,1.46919,2.14638,0.0006635,0.0006635,0.0006635
56,8671.53,1.52607,1.18111,1.62591,0.76061,0.65433,0.68197,0.23943,1.89437,1.37807,2.14795,0.00063875,0.00063875,0.00063875
